iter	RMSE
0	1.466807561
1	1.419786662
2	1.377262741
3	1.336090894
4	1.297388853
5	1.260282067
6	1.226536756
7	1.194506557
8	1.164452079
9	1.135118518
10	1.108019749
11	1.083021495
12	1.059080834
13	1.03705395
14	1.017651875
15	0.9981817381
16	0.9792661585
17	0.9618370195
18	0.9463252223
19	0.9315067602
20	0.9180835195
21	0.9047823356
22	0.891663507
23	0.8798656338
24	0.8692418778
25	0.8601601458
26	0.8508653754
27	0.8425923719
28	0.8334734744
29	0.8254456082
30	0.8176786865
31	0.8109797592
32	0.8042582248
33	0.7980142107
34	0.7926668049
35	0.787849134
36	0.7829114977
37	0.7787761665
38	0.7749395951
39	0.7710596444
40	0.766953475
41	0.763839852
42	0.7597152449
43	0.7562779054
44	0.7532043903
45	0.7506373671
46	0.7482044777
47	0.7456199141
48	0.7433353009
49	0.7413072187
50	0.7392045061
51	0.7365217667
52	0.7343633967
53	0.7324885611
54	0.7305427172
55	0.728861409
56	0.7264949538
57	0.7251087415
58	0.7237596359
59	0.722301589
60	0.720880202
61	0.7191164916
62	0.717631962
63	0.7166408008
64	0.7152365711
65	0.7141170626
66	0.7128362765
67	0.7115910478
68	0.7103797631
69	0.709282172
70	0.7082128999
71	0.7072769972
72	0.7064802075
73	0.7054567168
74	0.7043160155
75	0.7033164979
76	0.702536239
77	0.7018330614
78	0.7011721135
79	0.7005117767
80	0.6997974494
81	0.6993079113
82	0.6982658046
83	0.6976504981
84	0.6967699443
85	0.6959791719
86	0.6952637216
87	0.694580621
88	0.6939873287
89	0.6932753554
90	0.692736545
91	0.6919406524
92	0.6913834901
93	0.6907883173
94	0.6902850749
95	0.689679117
96	0.6891218434
97	0.6886898999
98	0.6879993163
99	0.6876022245
100	0.6871183922
101	0.6864108134
102	0.6856760333
103	0.6852996417
104	0.6845986771
105	0.6842203484
106	0.6837625332
107	0.6833863055
108	0.6829596232
109	0.6826428929
110	0.6820690723
111	0.681707309
112	0.6812950984
113	0.680869572
114	0.6805678916
115	0.6803330377
116	0.6799738805
117	0.6794657754
118	0.6790816406
119	0.6786822637
120	0.6783565359
121	0.6780520371
122	0.6776636089
123	0.6773107689
124	0.6769710822
125	0.6765644348
126	0.6759602075
127	0.6756469459
128	0.6753256245
129	0.674999429
130	0.6747827541
131	0.6743558498
132	0.6740408356
133	0.6738885364
134	0.6736333161
135	0.6730112472
136	0.6727299822
137	0.6724712952
138	0.6722520202
139	0.6717680633
140	0.6712787883
141	0.6709108751
142	0.6706356168
143	0.6704078926
144	0.6697979737
145	0.6694089724
146	0.6689894504
147	0.6686042382
148	0.6682490658
149	0.6680071597
150	0.6675435343
151	0.6672965441
152	0.6670436606
153	0.6666835014
154	0.6664105162
155	0.666235435
156	0.6660255557
157	0.6656620536
158	0.6652739074
159	0.6649269888
160	0.6646692577
161	0.664441445
162	0.6642354604
163	0.6640662677
164	0.663745569
165	0.6635871489
166	0.663377747
167	0.6631926928
168	0.6629457714
169	0.6627379089
170	0.6625549754
171	0.6623719402
172	0.6621591952
173	0.6618971286
174	0.6616584433
175	0.6614188527
176	0.6612075187
177	0.6608612429
178	0.660855942
179	0.6605577794
180	0.6603701702
181	0.6601808907
182	0.6599689356
183	0.6595552333
184	0.6592740308
185	0.6590713574
186	0.6589460392
187	0.6586495513
188	0.6585149106
189	0.6582849695
190	0.6582812042
191	0.6582783129
192	0.6580024853
193	0.6578514533
194	0.6575993494
195	0.6574054291
196	0.6572392188
197	0.657012271
198	0.6567688876
199	0.6566485914
200	0.6563617408
201	0.6561886307
202	0.65592701
203	0.6555859718
204	0.655325959
205	0.6551584625
206	0.6549944602
207	0.6548264927
208	0.6541571658
209	0.6539544588
210	0.6536604322
211	0.6534871221
212	0.653394672
213	0.6530434259
214	0.6527971495
215	0.6525685033
216	0.6523628862
217	0.6521655746
218	0.6521422786
219	0.652004671
220	0.651883243
221	0.6516318663
222	0.6513666548
223	0.6511602438
224	0.6510585966
225	0.6509136183
226	0.6506936469
227	0.6505640624
228	0.6503537662
229	0.6499781962
230	0.6495394507
231	0.6494657834
232	0.6493123827
233	0.6491811281
234	0.6489454819
235	0.6485692966
236	0.6484519276
237	0.6482381658
238	0.6480963394
239	0.647837156
240	0.6476455218
241	0.6474545754
242	0.6471448554
243	0.6469592451
244	0.6466516436
245	0.646354104
246	0.646173199
247	0.6460451929
248	0.6458380869
249	0.6456689584
250	0.6454066225
251	0.6451432586
252	0.6449270035
253	0.6447255119
254	0.6445293717
255	0.6443361601
256	0.6439749897
257	0.6436742842
258	0.6434000309
259	0.6431037244
260	0.642879227
261	0.642634732
262	0.6424059251
263	0.6421838337
264	0.6420314888
265	0.6417319681
266	0.6414350363
267	0.6412701605
268	0.6411327515
269	0.6410186795
270	0.6407483468
271	0.6405140445
