iter	Passed	Remaining
0	745	595378
1	1436	573139
2	1999	531231
3	2532	504024
4	3879	616778
5	5337	706371
6	6830	773743
7	7591	751520
8	8289	728582
9	9011	711905
10	9594	688201
11	10102	663397
12	10577	640335
13	11093	622807
14	11677	611104
15	12199	597776
16	12639	582157
17	13081	568340
18	13658	561435
19	14217	554479
20	14888	552277
21	15802	558844
22	16478	556698
23	16995	549506
24	17503	542611
25	18155	540476
26	18935	542110
27	19554	539152
28	20572	546942
29	21211	544421
30	21817	541210
31	22234	533636
32	22692	527430
33	23242	523631
34	23844	521180
35	24518	520330
36	25512	526103
37	26150	524376
38	26674	520504
39	27242	517599
40	27751	513734
41	28251	509870
42	28779	506644
43	29200	501720
44	29617	496916
45	30150	494206
46	30729	492323
47	31241	489451
48	31685	485631
49	32071	481077
50	32668	479783
51	33271	478604
52	33749	475672
53	34186	472279
54	34630	469091
55	35192	467557
56	35927	468313
57	36514	467139
58	37053	465370
59	37578	463466
60	38126	461896
61	38982	464017
62	39788	465463
63	40338	463887
64	40872	462172
65	41363	460009
66	42032	459844
67	42712	459783
68	43373	459512
69	43994	458800
70	44662	458576
71	45327	458307
72	45996	458076
73	46857	459705
74	47618	460310
75	48272	459857
76	48956	459680
77	49613	459245
78	50106	457300
79	50525	454729
80	50936	452137
81	51426	450294
82	51987	449100
83	52404	446687
84	52811	444235
85	53209	441766
86	53716	440225
87	54283	439201
88	54912	438686
89	55373	436837
90	55857	435198
91	56429	434264
92	57005	433367
93	57612	432703
94	58195	431872
95	58721	430626
96	59157	428741
97	59568	426704
98	59987	424763
99	60514	423600
100	61092	422809
101	61555	421234
102	62002	419568
103	62415	417705
104	62914	416434
105	63449	415413
106	63889	413789
107	64278	411857
108	64747	410461
109	65254	409321
110	65812	408514
111	66277	407131
112	66835	406336
113	67501	406194
114	68148	405928
115	68791	405630
116	69484	405624
117	70081	405047
118	70700	404599
119	71305	404066
120	71833	403096
121	72453	402651
122	72917	401340
123	73359	399930
124	73810	398576
125	74381	397884
126	74947	397163
127	75372	395703
128	75788	394215
129	76180	392621
130	76720	391801
131	77390	391640
132	77981	391080
133	78826	391777
134	79846	393315
135	80454	392806
136	81012	392050
137	81791	392364
138	82438	392025
139	82927	390943
140	83509	390301
141	84442	391290
142	85281	391817
143	86265	392986
144	87087	393395
145	87791	393257
146	88617	393655
147	89384	393774
148	89975	393114
149	90502	392179
150	91067	391407
151	91625	390613
152	92169	389763
153	92616	388508
154	93055	387230
155	94118	388542
156	94780	388175
157	95379	387556
158	96129	387541
159	96773	387093
160	97317	386247
161	98032	386077
162	99478	388761
163	102115	396010
164	103040	396550
165	103827	396547
166	104493	396075
167	105182	395685
